idA,idB
163,2977
165,1039
165,2569
165,2257
165,3067
165,44
165,3793
165,3458
165,523
165,640
165,1814
165,1249
165,1450
165,3692
165,2202
165,273
166,56
166,1045
166,605
166,2737
166,2559
166,278
166,432
166,912
166,927
166,489
166,1301
166,3317
166,3591
166,3792
166,2802
166,3568
166,2647
166,3946
166,294
166,703
166,174
166,2263
167,1903
167,94
167,230
167,3488
167,2165
167,624
167,3892
167,4052
167,2097
167,1933
167,1083
167,2967
167,2657
167,3470
167,520
167,2290
167,740
167,2511
167,538
172,1149
172,575
172,1275
172,997
172,3065
172,454
172,2703
172,1408
172,976
172,2069
172,1592
172,570
172,3431
172,297
172,1654
172,2384
172,1699
172,1948
172,1969
172,3979
172,1287
174,1765
174,1545
174,626
174,927
174,2802
174,1374
174,2263
174,2158
174,489
174,3156
174,3570
174,3027
174,487
174,1117
194,2273
194,1117
194,4064
194,3392
194,1581
194,1385
194,1
194,3749
194,1545
194,3253
194,313
194,2623
194,3483
194,1826
194,3333
194,1006
194,2303
194,1781
194,3741
194,912
194,1702
194,2639
194,1536
194,1301
195,3226
195,4020
195,725
195,3482
195,943
195,3431
195,325
195,3078
195,1969
195,567
195,2246
195,3403
195,1234
195,3806
195,1012
195,3147
195,2027
195,3677
198,411
198,899
198,4010
198,1592
198,2750
198,1041
198,3507
198,1436
198,491
198,2198
198,2604
198,3212
198,3573
198,888
198,454
198,3373
198,2703
198,1654
198,3967
198,2443
198,2835
198,1517
198,1280
201,2774
201,3575
201,299
201,918
201,1236
201,1791
201,3945
201,4014
201,3588
201,2781
201,2794
201,1246
201,1549
201,1789
201,1125
201,867
201,1704
201,1484
208,504
208,3442
208,2337
208,803
208,700
208,120
208,3908
208,670
208,1425
208,2520
208,3850
208,2785
208,954
208,2107
208,3106
208,3658
213,1969
213,2384
213,1699
213,2703
213,2818
213,913
213,1424
213,1654
213,3287
213,2023
213,4058
213,3226
213,943
213,3769
213,1408
213,454
213,2681
213,2806
215,2001
215,2015
215,388
215,2801
215,3331
215,3373
215,2769
215,2009
215,617
215,1660
215,1487
215,454
215,812
215,3292
215,3532
215,411
215,2168
215,3243
215,2007
215,4058
220,1532
220,1522
220,2500
220,1573
220,3835
220,1673
220,2034
220,1404
220,864
220,2271
220,2739
220,459
220,681
220,573
220,890
220,3417
220,1394
220,987
220,520
220,3926
238,1703
238,3291
238,1374
238,489
238,605
238,3352
238,19
238,3393
238,2478
238,2737
238,293
238,2506
238,3341
238,2673
238,927
238,3570
238,3568
241,574
241,572
241,3396
241,740
241,3992
241,1908
241,289
241,2656
241,2651
241,3978
241,2653
241,970
241,1025
241,2216
241,3831
241,3563
241,2713
241,1945
242,836
242,3637
242,1522
242,3757
242,2359
242,810
242,884
242,1725
242,1920
242,220
242,4076
242,573
242,3935
242,3827
242,2633
242,2582
242,797
242,3021
243,3888
243,3341
243,1964
243,753
243,667
243,10
243,2263
243,912
243,1429
243,927
243,432
243,3591
243,922
243,289
243,3434
243,3461
243,278
243,2082
243,2319
258,3107
258,419
258,2869
258,929
258,3333
258,2303
258,2737
258,1415
258,2647
258,3627
258,3804
258,3751
258,463
258,713
258,3462
258,3694
258,1290
258,1765
258,2705
258,2814
258,2696
258,838
260,2090
260,519
260,968
260,257
260,284
260,4062
260,3468
260,2469
260,1280
260,2835
260,2703
